Dataset,Image,Preprocessing,Model,IoU,Dice
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1269.png,none,DeepLabV3+,0.001387764542615535,0.0027716826423366523
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1269.png,none,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1269.png,none,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4049.png,none,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4049.png,none,ResUNet,0.21287970087447655,0.35103184713371327
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4049.png,none,ResNet34,0.006079382708829088,0.012085294288529379
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4049.png,none,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4049.png,none,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4049.png,none,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,canny,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,canny,ResUNet,0.000724225337540363,0.0014474024295676156
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,canny,ResNet34,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,canny,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,canny,FPN,0.2129409710093935,0.35111514261437937
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,canny,PSPNet,0.3740108914762542,0.5444074625557186
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,sobel,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,sobel,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,sobel,ResNet34,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,sobel,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,sobel,FPN,0.22751786732138654,0.37069581368760346
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_970.png,sobel,PSPNet,0.1496102248005123,0.26027991326620925
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,canny,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,canny,ResUNet,0.0004415335933472356,0.0008826774549460223
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,canny,ResNet34,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,canny,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,canny,FPN,0.2646812181037773,0.41857381024544965
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,canny,PSPNet,0.22442932396831122,0.36658599982063084
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,sobel,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,sobel,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,sobel,ResNet34,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,sobel,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,sobel,FPN,0.124207289731573,0.220968660968619
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_121.png,sobel,PSPNet,0.09158328428481954,0.1677989863042339
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,canny,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,canny,ResUNet,0.0013714285714275264,0.002739100661947242
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,canny,ResNet34,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,canny,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,canny,FPN,0.19321386538756175,0.3238545427475483
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,canny,PSPNet,0.25548821158244484,0.40699420229588923
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,sobel,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,sobel,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,sobel,ResNet34,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,sobel,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,sobel,FPN,0.1012176213060696,0.1838285536804672
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3943.png,sobel,PSPNet,0.020760651987405912,0.040676826535163225
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,canny,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,canny,ResUNet,0.0005179502120357004,0.0010353641569867552
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,canny,ResNet34,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,canny,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,canny,FPN,0.5074331429512965,0.6732413245974267
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,canny,PSPNet,0.33690591048275165,0.5040084090302154
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,sobel,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,sobel,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,sobel,ResNet34,0.01031694695989317,0.020423188962508266
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,sobel,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,sobel,FPN,0.18829639597960632,0.31691823120338386
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_939.png,sobel,PSPNet,0.09129102844636287,0.16730830927169094
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,canny,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,canny,ResUNet,0.00127013837823299,0.002537054346372989
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,canny,ResNet34,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,canny,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,canny,FPN,0.22665960825828976,0.3695558355917814
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,canny,PSPNet,0.24835934484082936,0.39789720142239354
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,sobel,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,sobel,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,sobel,ResNet34,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,sobel,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,sobel,FPN,0.08022274033997777,0.14852999727580132
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3620.png,sobel,PSPNet,0.041552910341792315,0.07979030144163575
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,kmeans,UNet,0.0009714042863208235,0.0019409231515727901
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,kmeans,ResUNet,0.06850585371504085,0.1282273812106052
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,kmeans,ResNet34,0.07034719900660473,0.1314474388719742
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,kmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,kmeans,FPN,0.0033890243177338787,0.006755155250055252
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,kmeans,PSPNet,0.0421518397764126,0.0808938547485672
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,mbkmeans,UNet,0.0007896974851167599,0.0015781487101659615
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,mbkmeans,ResUNet,0.0653995031486132,0.12276991486355253
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,mbkmeans,ResNet34,0.17236779828743498,0.2940507211802055
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,mbkmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,mbkmeans,FPN,0.017551317867109468,0.03449716502534497
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_377.png,mbkmeans,PSPNet,0.06034720308622194,0.11382536382531452
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,kmeans,UNet,0.00043550213396007707,0.0008706251088273806
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,kmeans,ResUNet,0.03991999333274446,0.07677512421856325
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,kmeans,ResNet34,0.0038735754785808826,0.007717257577447871
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,kmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,kmeans,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,kmeans,PSPNet,0.14236237695944684,0.24924206159233592
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,mbkmeans,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,mbkmeans,ResUNet,0.025765159596269988,0.05023598112147009
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,mbkmeans,ResNet34,0.20626461471520677,0.341989000090009
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,mbkmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,mbkmeans,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_969.png,mbkmeans,PSPNet,0.058752352782966685,0.11098412698405652
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,kmeans,UNet,0.0018468438757325723,0.003686878662187315
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,kmeans,ResUNet,0.07165881477803641,0.1337343822303715
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,kmeans,ResNet34,0.1967492402614436,0.3288061251970571
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,kmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,kmeans,FPN,0.0015953856538003341,0.0031856889052238034
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,kmeans,PSPNet,0.16869621691823958,0.2886913031396273
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,mbkmeans,UNet,0.0007915045181711024,0.0015817570684758572
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,mbkmeans,ResUNet,0.042755493986497854,0.08200483091782487
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,mbkmeans,ResNet34,0.18441637730370342,0.3114046391751574
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,mbkmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,mbkmeans,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4352.png,mbkmeans,PSPNet,0.046339097186528365,0.08857376602122248
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,kmeans,UNet,5.466571912750524e-05,0.00010932546190001676
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,kmeans,ResUNet,0.02112186514089026,0.0413699204021568
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,kmeans,ResNet34,0.0007573605983145141,0.0015135748746563646
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,kmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,kmeans,FPN,0.0025926326023535742,0.005171856480979866
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,kmeans,PSPNet,0.02672020622643926,0.05204963545939257
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,mbkmeans,UNet,0.0002186867858508454,0.00043727794479342044
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,mbkmeans,ResUNet,0.017775629665421955,0.03493035035878275
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,mbkmeans,ResNet34,0.01333209024798931,0.026313368295139243
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,mbkmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,mbkmeans,FPN,0.004474393530994892,0.008908925025487624
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_3914.png,mbkmeans,PSPNet,0.021393857407675035,0.0418914941626401
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,kmeans,UNet,0.0007464079119231699,0.0014917024053687378
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,kmeans,ResUNet,0.06071209867897759,0.11447422680402929
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,kmeans,ResNet34,0.21939609236218868,0.3598438501425393
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,kmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,kmeans,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,kmeans,PSPNet,0.06586972432296544,0.12359807736317029
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,mbkmeans,UNet,0.00018707323917296128,0.00037407649864362285
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,mbkmeans,ResUNet,0.013343799058073133,0.026336173508885154
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,mbkmeans,ResNet34,0.3625651720540341,0.5321803015227167
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,mbkmeans,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,mbkmeans,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1010.png,mbkmeans,PSPNet,0.06340243030731708,0.11924447133150551
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,watershed,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,watershed,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,watershed,ResNet34,0.0072567059738193225,0.014408851151412319
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,watershed,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,watershed,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,watershed,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,grabcut,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,grabcut,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,grabcut,ResNet34,0.009721175584016788,0.019255168296127133
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,grabcut,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,grabcut,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,grabcut,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,region_grow,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,region_grow,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,region_grow,ResNet34,0.08958657794135297,0.16444141246786717
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,region_grow,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,region_grow,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4333.png,region_grow,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,watershed,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,watershed,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,watershed,ResNet34,0.02576687116563288,0.0502392344497393
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,watershed,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,watershed,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,watershed,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,grabcut,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,grabcut,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,grabcut,ResNet34,0.14552463558601553,0.2540750867598226
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,grabcut,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,grabcut,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,grabcut,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,region_grow,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,region_grow,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,region_grow,ResNet34,0.16986758916850478,0.2904048128886789
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,region_grow,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,region_grow,FPN,0.004137330333160966,0.008240566719670203
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1338.png,region_grow,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,watershed,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,watershed,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,watershed,ResNet34,0.20282044008582775,0.33724142577982036
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,watershed,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,watershed,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,watershed,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,grabcut,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,grabcut,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,grabcut,ResNet34,0.04826829650523105,0.09209149349675134
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,grabcut,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,grabcut,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,grabcut,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,region_grow,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,region_grow,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,region_grow,ResNet34,0.10158592222459197,0.1844357669703055
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,region_grow,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,region_grow,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4346.png,region_grow,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,watershed,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,watershed,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,watershed,ResNet34,0.18691202030507714,0.31495513923101787
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,watershed,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,watershed,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,watershed,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,grabcut,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,grabcut,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,grabcut,ResNet34,0.001814502058761318,0.0036224312086368432
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,grabcut,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,grabcut,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,grabcut,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,region_grow,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,region_grow,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,region_grow,ResNet34,0.27634934126639493,0.4330308832097659
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,region_grow,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,region_grow,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_28.png,region_grow,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,watershed,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,watershed,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,watershed,ResNet34,0.06636441525058319,0.12446854809007918
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,watershed,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,watershed,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,watershed,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,grabcut,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,grabcut,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,grabcut,ResNet34,0.103813326495438,0.18809942587854242
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,grabcut,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,grabcut,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,grabcut,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,region_grow,UNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,region_grow,ResUNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,region_grow,ResNet34,0.03182627955123895,0.06168922071858997
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,region_grow,DeepLabV3+,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,region_grow,FPN,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_4366.png,region_grow,PSPNet,0.0,0.0
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1324.png,otsu,UNet,0.017360600264809945,0.03412870571219513
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1324.png,otsu,ResUNet,0.07315284075748656,0.1363325669544918
COVIDQU_Infection Segmentation Data_Train_COVID-19,covid_1324.png,otsu,ResNet34,0.02988072054525932,0.058027536488767927
